ticker,yearReport,lengthReport,symbol,report,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Dividends received,Profits from other activities,Net Cash Flows from Operating Activities before BIT,Payment from reserves,_Increase/Decrease in receivables,_Increase/Decrease in payables,Profit/Loss from disposal of fixed assets
GAS,2023,4,GAS,cash_flow,3364820476996.0,770604410752.0,75826977659.0,-44238876985.0,-467263994838.0,109925461445.0,,3809674455029.0,-713245612685.0,-1598257813590.0,2458734753560.0,107823466095.0,-218886783237.0,-746818639053.0,191089383084.0,-117448178208.0,3172665030995.0,-774563131174.0,595061818.0,-12849865647018.0,7057345448326.0,0.0,0.0,438519244335.0,-6127969023713.0,0.0,0.0,2007584341553.0,-2335438505852.0,0.0,-1903057103066.0,-2230911267365.0,-5186215260083.0,10851522950436.0,3587502696.0,5668895193049.0,,,,,,,
GAS,2023,3,GAS,cash_flow,3009022578452.0,754583629941.0,137371875032.0,98155132122.0,-800382736161.0,105613394329.0,,3304363873715.0,2642850088086.0,-65400074907.0,-920561068411.0,-566062247419.0,-1364453853.0,-790410364179.0,-66531080355.0,-14831434838.0,3522053237839.0,-218205437253.0,0.0,-12160573693259.0,11450848389474.0,0.0,0.0,946125294756.0,18194553718.0,0.0,0.0,52801541973.0,-21706541973.0,0.0,-5218907626700.0,-5187812626700.0,-1647564835143.0,12499180008661.0,-92223082.0,10851522950436.0,,,,,,,
GAS,2023,2,GAS,cash_flow,3999064389031.0,734779931580.0,175581172023.0,47242679085.0,-561512401845.0,62362003722.0,,4456625737015.0,-1274159641590.0,-186930074240.0,1253573729956.0,753909710529.0,-209667524409.0,-836863218124.0,3741683959.0,-250033253555.0,3705638037251.0,-244831782700.0,0.0,-14786718639707.0,10751323064970.0,0.0,0.0,411160131150.0,-3869067226287.0,0.0,0.0,0.0,-56508751000.0,0.0,0.0,-56508751000.0,-219937940036.0,12714013568114.0,5104380583.0,12499180008661.0,,,,,,,
GAS,2023,1,GAS,cash_flow,4266634764731.0,790731950222.0,-11642390236.0,-25431555768.0,-480986565211.0,62075197062.0,,4601381400800.0,-1280130516194.0,1959128426122.0,-1860148690292.0,302508654331.0,-14572416150.0,-760058908022.0,-3741683959.0,-124477510929.0,2824447867997.0,-531755860030.0,0.0,-10401800000000.0,9895603527500.0,0.0,0.0,369644793603.0,-668307538927.0,0.0,0.0,15359724831.0,-5625000000.0,0.0,0.0,9734724831.0,2165875053901.0,10550229675118.0,-2091160905.0,12714013568114.0,,,,,,,
GAS,2022,4,GAS,cash_flow,4169039880294.0,804244136772.0,242699774105.0,-83770169408.0,-323739157422.0,83570676766.0,,4892045141107.0,1445840137280.0,-1551678859451.0,-2690622812787.0,777517949757.0,-204756170404.0,-828591196364.0,15518718877.0,-360933449743.0,1494339458272.0,-567251707813.0,570658941.0,-6999768266787.0,9141809077942.0,0.0,-60000000000.0,197297517117.0,1712657279400.0,0.0,0.0,20000000000.0,-2864243727490.0,0.0,-11885148000.0,-2856128875490.0,350867862182.0,10206278543029.0,-7808766674.0,10549337638537.0,,,,,,,
GAS,2022,3,GAS,cash_flow,3851199263663.0,774774629228.0,6390581675.0,103326354227.0,-569636340073.0,67533785424.0,,4233588274144.0,3369474310085.0,-433457904793.0,-1902999725139.0,-177507911851.0,-111738427081.0,-1246981938820.0,553844887.0,-54399685209.0,3676530836223.0,-305400981076.0,0.0,-8691383724685.0,10916255177484.0,0.0,0.0,670730008001.0,2590200479724.0,92404972493.0,0.0,658402622960.0,-5625000000.0,0.0,-5865099848000.0,-5119917252547.0,1146814063400.0,9054658184090.0,4806295539.0,10206278543029.0,,,,,,,
GAS,2022,2,GAS,cash_flow,6400522139419.0,763208964968.0,-11677095863.0,79441414730.0,-366959677302.0,91456259218.0,,6955992005170.0,-422457411999.0,3084186310.0,-1070164810051.0,-293646379200.0,-112454399221.0,-883730437165.0,-116225533202.0,15748349280.0,4076145569922.0,-691887023085.0,978400000000.0,-17073938384308.0,13249818936306.0,-40424772709.0,0.0,317884526603.0,-3260146717193.0,66365778391.0,0.0,28277541866.0,-498481964190.0,0.0,-5331965700.0,-409170609633.0,406828243096.0,8648444105639.0,-614164645.0,9054658184090.0,,,,,,,
GAS,2022,1,GAS,cash_flow,4381391090024.0,761903141989.0,174888101735.0,-25370597799.0,-218056650788.0,81978340051.0,,5156733425212.0,-3610580648623.0,1103671782397.0,1762124879532.0,-596341213641.0,-108170786912.0,-492407620026.0,104308084152.0,-126200022927.0,3193137879164.0,-441415240274.0,-978400000000.0,-7847860000000.0,8124428976329.0,0.0,0.0,143966066603.0,-999280197342.0,0.0,0.0,618701374640.0,-2325000000.0,0.0,0.0,616376374640.0,2810234056462.0,5832777735432.0,5432313745.0,8648444105639.0,,,,,,,
GAS,2021,4,GAS,cash_flow,2550558646707.0,797758784024.0,541019167212.0,-97345306983.0,-267842106395.0,100281311387.0,,3722500495952.0,-3523189980347.0,-830040626574.0,4302690907345.0,-1393733238157.0,-92345807720.0,-631528637067.0,-10287508400.0,-84774968987.0,1459290636045.0,-1141541024915.0,-29156197996.0,-9726481613070.0,8987046800000.0,0.0,0.0,211373292527.0,-1698758743454.0,0.0,0.0,625414819490.0,-474224227503.0,0.0,-307022527100.0,-155831935113.0,-395300042522.0,5994119472080.0,1511305874.0,5600330735432.0,,,,,,,
GAS,2021,3,GAS,cash_flow,3084370576314.0,812255631367.0,-45084752291.0,-15160477191.0,-414286404214.0,81356019689.0,,3503450593674.0,595779935163.0,-306838300572.0,-883023459029.0,-732947769877.0,-76887521179.0,-638324744517.0,-12491734051.0,-47082230765.0,1401634768847.0,-658089369188.0,0.0,-14558146000000.0,16637411845885.0,0.0,0.0,508367965838.0,1929544442535.0,0.0,0.0,2313173813015.0,-38053272497.0,0.0,-5557736740000.0,-3282616199482.0,48563011900.0,5947560639666.0,-2004179486.0,5994119472080.0,,,,,,,
GAS,2021,2,GAS,cash_flow,2932827367629.0,836848078086.0,243113266799.0,-9866240333.0,-165671859832.0,69687381742.0,,3906937994091.0,-2053029244100.0,-42585565783.0,2589545066494.0,-587923374944.0,-48973529061.0,-540815706595.0,-69821662253.0,20904768017.0,3174238745866.0,-1135169668157.0,0.0,-6807155135731.0,2848960289846.0,0.0,0.0,14561724656.0,-5078802789386.0,0.0,0.0,1907546908876.0,-510944000000.0,0.0,-35100000.0,1396567808876.0,-507996234644.0,6457577994501.0,-2021120191.0,5947560639666.0,,,,,,,
GAS,2021,1,GAS,cash_flow,2637241653121.0,791067632562.0,-535743765.0,-5772363790.0,-261092833403.0,52814030559.0,,3213722375284.0,-2740780085818.0,-315526359383.0,1775794239236.0,-25705800531.0,-44235436822.0,-461315925080.0,89253311602.0,-116522998155.0,1374683320333.0,-1812372847872.0,209823959323.0,-10419101599947.0,10340000000000.0,0.0,0.0,259506505106.0,-1422143983390.0,0.0,0.0,1423792108728.0,-156100000000.0,0.0,0.0,1267692108728.0,1220231445671.0,5237246729402.0,99819428.0,6457577994501.0,,,,,,,
