ticker,yearReport,lengthReport,Minority Interest,symbol,report,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investment in joint ventures,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Other Reserves,Convertible bonds (Bn. VND),Leased assets
HPG,2014,3,,HPG,balance_sheet,10847243527197.0,1651561080358.0,1321443401770.0,488499529809.0,7204720579389.0,181018935871.0,10206621781010.0,0.0,8881527209575.0,192881972117.0,23470004101.0,468428052812.0,639564674492.0,21053865308207.0,9431875124397.0,7954228269403.0,1477646854994.0,11475158361506.0,11475158361506.0,3989645596960.0,0.0,0.0,21053865308207.0,0.0,0.0,7239382080744.0,12418297856.0,0.0,4819081750000.0,4819081750000.0,1385451947501.0,34074237954.0,5295678156614.0,0.0,564722275868.0,18049398194.0,749867913.0,749867913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2014,2,,HPG,balance_sheet,10185267661307.0,1429108292747.0,365935396771.0,1128668027025.0,7061231281217.0,200324663547.0,10164480042087.0,0.0,9058200385323.0,205889710475.0,21122734272.0,496191992663.0,382325351441.0,20349747703394.0,9608604478109.0,8123652795206.0,1484951682903.0,10618288174026.0,10618288174026.0,3132775409480.0,0.0,0.0,20349747703394.0,263090476680.0,0.0,7096154263680.0,11937205399.0,0.0,4819081750000.0,4819081750000.0,1396520571671.0,53318242096.0,4749489553472.0,0.0,313073135199.0,15702128365.0,749867913.0,749867913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2014,1,,HPG,balance_sheet,11110329506201.0,2195020257953.0,404610725404.0,1514200435375.0,6771400748851.0,225097338618.0,10559423169345.0,0.0,9154049472077.0,60884540548.0,21255298806.0,500484705584.0,373204996958.0,21669752675546.0,11256741702433.0,9163716115422.0,2093025587011.0,10309475352863.0,10309475352863.0,3452519008317.0,0.0,0.0,21669752675546.0,301846119771.0,0.0,6806573307953.0,15869622780.0,0.0,4190525330000.0,4190525330000.0,1561575768508.0,81529600081.0,5685729322599.0,0.0,310730650028.0,15702128365.0,449544155372.0,449544155372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2013,4,,HPG,balance_sheet,12287301998192.0,2267622390696.0,245493671402.0,1630722679686.0,7913085213700.0,230378042708.0,10673891739662.0,0.0,9187130524311.0,62002294764.0,21284513924.0,572856921038.0,380858246946.0,22961193737854.0,13376797694849.0,11012050712534.0,2364746982315.0,9497763277869.0,9497763277869.0,2705545725073.0,0.0,0.0,22961193737854.0,352068616679.0,0.0,7948364813960.0,26332427062.0,0.0,4190525330000.0,4190525330000.0,1849674148472.0,79676433981.0,5725709275613.0,0.0,326428533088.0,15702128365.0,449759238679.0,449759238679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2013,3,,HPG,balance_sheet,11805583231924.0,2014263312314.0,120433565257.0,1430328606016.0,7940583999513.0,299973748824.0,10722951190434.0,0.0,9051050856779.0,63120048984.0,25385022226.0,752854557413.0,381168616305.0,22528534422358.0,12875532863468.0,10345316896096.0,2530215967372.0,9105588923836.0,9105588923836.0,2417566171072.0,0.0,0.0,22528534422358.0,393926087693.0,0.0,7987569900980.0,32833431311.0,0.0,4190525330000.0,4190525330000.0,2056408322857.0,66747954509.0,5100528941087.0,0.0,328089583494.0,19609128365.0,449372088727.0,449372088727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2013,2,,HPG,balance_sheet,10883282075665.0,1385641109292.0,167413612457.0,1525711381918.0,7495545273158.0,308970698840.0,10269221212044.0,0.0,8583948703425.0,64237803200.0,25385022226.0,784513893857.0,361797818492.0,21152503287709.0,11589078733834.0,9013227642019.0,2575851091815.0,9028295607495.0,9028295607495.0,2341892864804.0,0.0,0.0,21152503287709.0,438646071883.0,0.0,7547546684618.0,28310278505.0,0.0,4190525330000.0,4190525330000.0,2102278038608.0,51996906849.0,4214175488425.0,0.0,313435172652.0,19609128365.0,449337970844.0,449337970844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,2013,1,,HPG,balance_sheet,9713924689615.0,996320633597.0,49683612457.0,1770193914441.0,6654921112213.0,242805416907.0,9479433752673.0,0.0,7737257713412.0,65355557415.0,26218497620.0,819007801853.0,382256211529.0,19193358442288.0,10160698957084.0,6247446615287.0,3913252341797.0,9032659485204.0,8516718830334.0,1830335887643.0,515940654870.0,0.0,19193358442288.0,569932885949.0,0.0,6686446587977.0,26407782152.0,0.0,4190525330000.0,4190525330000.0,1892563018950.0,71940658184.0,4179507340081.0,0.0,314872500863.0,20409128365.0,449337970844.0,449337970844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCB,2025,4,0.0,VCB,balance_sheet,,15542768000000.0,,,,,,,8232904000000.0,,2260728000000.0,,,2441928945000000.0,2214393069000000.0,,,227535876000000.0,,102027572000000.0,,71521000000.0,2441928945000000.0,,,,,,,83556751000000.0,,,,,,1589089000000.0,,,37445504000000.0,521938509000000.0,11479097000000.0,11546520000000.0,-67423000000.0,374918000000.0,1648557141000000.0,1673525675000000.0,-24968534000000.0,162104164000000.0,143080817000000.0,22384962000000.0,-3361615000000.0,0.0,746639000000.0,-75000000000.0,5618792000000.0,2614112000000.0,33993212000000.0,160128325000000.0,321158844000000.0,1672534103000000.0,0.0,0.0,27101221000000.0,33470576000000.0,89361977000000.0,36993479000000.0,-918673000000.0,0.0,809837000000.0,,
VCB,2025,3,0.0,VCB,balance_sheet,,12909550000000.0,,,,,,,8141017000000.0,,2418879000000.0,,,2378185628000000.0,2155394083000000.0,,,222791545000000.0,,97169628000000.0,,112712000000.0,2378185628000000.0,,,,,,,83556751000000.0,,,,,,1589089000000.0,,,56577155000000.0,497858712000000.0,5251130000000.0,5307342000000.0,-56212000000.0,0.0,1595933982000000.0,1629942508000000.0,-34008526000000.0,165634799000000.0,135556078000000.0,30320838000000.0,-242117000000.0,0.0,904790000000.0,-75000000000.0,5671432000000.0,2469585000000.0,33460404000000.0,162585347000000.0,317172542000000.0,1611966698000000.0,28651000000.0,2000000.0,23085140000000.0,40555703000000.0,89361977000000.0,37060181000000.0,-912953000000.0,0.0,809837000000.0,,
VCB,2025,2,0.0,VCB,balance_sheet,,14790170000000.0,,,,,,,7967792000000.0,,2314396000000.0,,,2217636600000000.0,2003887178000000.0,,,213749422000000.0,,88145614000000.0,,107351000000.0,2217636600000000.0,,,,,,,83556751000000.0,,,,,,1528922000000.0,,,37686004000000.0,432541459000000.0,7992828000000.0,8031786000000.0,-38958000000.0,0.0,1522462472000000.0,1555769476000000.0,-33307004000000.0,162434366000000.0,128742046000000.0,33936124000000.0,-243804000000.0,0.0,860474000000.0,-75000000000.0,5487426000000.0,2480366000000.0,29447113000000.0,99737152000000.0,258784288000000.0,1586682675000000.0,47261000000.0,2000000.0,24165140000000.0,34470660000000.0,89361977000000.0,37060591000000.0,-926111000000.0,0.0,809837000000.0,,
