ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,symbol,report,Provision for credit losses,Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,Operating Profit before Provision,Tax For the Year,EPS_basis
PNJ,2022,1,0.0,10229010768820.0,721072652231.0,0.0,5106586566.0,-30870653257.0,10229010768820.0,-86293516235.0,10142717252585.0,-8381925540519.0,1760791712066.0,-34536623688.0,0.0,-642075911775.0,-176086421117.0,913199342052.0,809323251.0,0.0,-722689429.0,86633822.0,913285975874.0,-192534695294.0,321371651.0,721072652231.0,0.0,721072652231.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2021,4,0.0,7176172897335.0,457177492495.0,0.0,3084532848.0,-32839348932.0,7176172897335.0,-77268025826.0,7098904871509.0,-5842079070664.0,1256825800845.0,-41372137098.0,0.0,-519454214618.0,-120674471488.0,578409510489.0,2730958643.0,0.0,-21780987760.0,-19050029117.0,559359481372.0,-120259337045.0,18077348168.0,457177492495.0,0.0,457177492495.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2021,3,-1.0,890098972480.0,-159528391064.0,-2.0,3514070576.0,-27735712834.0,890098972480.0,-13131732462.0,876967240018.0,-721083564561.0,155883675457.0,-28519214071.0,0.0,-250770901767.0,-73547290316.0,-193439660121.0,244554611.0,0.0,-314270684.0,-69716073.0,-193509376194.0,33466703700.0,514281430.0,-159528391064.0,0.0,-159528391064.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2021,2,1.0,4513830098175.0,222657103800.0,6.0,4164887513.0,-21034959436.0,4513830098175.0,-58421596603.0,4455408501572.0,-3620339477995.0,835069023577.0,-22989179078.0,0.0,-420390087670.0,-125031681970.0,270822962372.0,4002783080.0,0.0,-1614314191.0,2388468889.0,273211431261.0,-41569299846.0,-8985027615.0,222657103800.0,0.0,222657103800.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2021,1,0.0,7234561357052.0,512612208810.0,0.0,5562623858.0,-22770252958.0,7234561357052.0,-52789893715.0,7181771463337.0,-5856651852958.0,1325119610379.0,-25372204148.0,0.0,-503024843329.0,-153160847424.0,649124339336.0,1786445968.0,0.0,-2622736045.0,-836290077.0,648288049259.0,-135554338054.0,-121502395.0,512612208810.0,0.0,512612208810.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2020,4,0.0,5903043165174.0,427301574221.0,0.0,1440390332.0,-29105868217.0,5903043165174.0,-60091419311.0,5842951745863.0,-4665569863768.0,1177381882095.0,-31794661440.0,0.0,-444760732572.0,-168113412171.0,534153466244.0,2572927223.0,0.0,-1233320158.0,1339607065.0,535493073309.0,-109938162272.0,1746663184.0,427301574221.0,0.0,427301574221.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2020,3,0.0,3962201288187.0,202085876099.0,0.0,746730937.0,-40680147467.0,3962201288187.0,-39827405773.0,3922373882414.0,-3188043827778.0,734330054636.0,-42998465686.0,0.0,-318785521610.0,-113040437997.0,260252360280.0,1865755937.0,0.0,-6022389105.0,-4156633168.0,256095727112.0,-54364135632.0,354284619.0,202085876099.0,0.0,202085876099.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2020,2,0.0,2769528845620.0,31660485158.0,-1.0,-3213345233.0,-44251598481.0,2769528845620.0,-24726646013.0,2744802199607.0,-2271304837096.0,473497362511.0,-41805650739.0,0.0,-289339969961.0,-96342283167.0,42796113411.0,614534228.0,0.0,-719774676.0,-105240448.0,42690872963.0,-10959902195.0,-70485610.0,31660485158.0,0.0,31660485158.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2020,1,0.0,5047369321706.0,408262169783.0,0.0,3999243952.0,-40379080111.0,5047369321706.0,-46478904081.0,5000890417625.0,-3951333995980.0,1049556421645.0,-45546371299.0,0.0,-368002269304.0,-128076661270.0,511930363724.0,432630762.0,0.0,-662199155.0,-229568393.0,511700795331.0,-104160277315.0,721651767.0,408262169783.0,0.0,408262169783.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
PNJ,2019,4,0.0,5374046800939.0,384803198848.0,0.0,687830958.0,-41002191152.0,5374046800939.0,-52704540031.0,5321342260908.0,-4298771153390.0,1022571107518.0,-41213578323.0,0.0,-367632953860.0,-133606551921.0,480805854372.0,1470924189.0,0.0,-935460083.0,535464106.0,481341318478.0,-99569513025.0,3031393395.0,384803198848.0,0.0,384803198848.0,PNJ,income_statement,,,,,,,,,,,,,,,,,,
